nome;preco;url;vendidos;estrelas;qtd-perguntas;data-ultima-pergunta;freteGratis;condicao
Relógio Gemius Army Original Pulseira Verde Fundo Verde;79.8;https://produto.mercadolivre.com.br/MLB-1173785349-relogio-gemius-army-original-pulseira-verde-fundo-verde-_JM#position=1&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;23;5.0;27;06/1/2020 16:56;True;Novo
Relógio Masculino Gemius Army Filme Brad Pitt Fury;49.0;https://produto.mercadolivre.com.br/MLB-1102273236-relogio-masculino-gemius-army-filme-brad-pitt-fury-_JM#position=2&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;3;;0;;True;Novo
Relógio Masculino Gemius Army Filme Brad Pitt Fury + Caixa;49.0;https://produto.mercadolivre.com.br/MLB-1407565411-relogio-masculino-gemius-army-filme-brad-pitt-fury-caixa-_JM#position=3&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;2;;0;;False;Novo
Relógio Masculino Gemius Army Filme Brad Pitt Fury + Estojo;49.0;https://produto.mercadolivre.com.br/MLB-1407611923-relogio-masculino-gemius-army-filme-brad-pitt-fury-estojo-_JM#position=4&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;;;0;;False;Novo
Relógio Feminino Masculino Aço Inoxidável Pulseira De Couro;62.0;https://produto.mercadolivre.com.br/MLB-873780123-relogio-feminino-masculino-aco-inoxidavel-pulseira-de-couro-_JM#position=5&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;;;2;26/4/2018 13:04;False;Novo
Relógio Masculino, Gemius Army. Linha Brad Pitt Fury;59.9;https://produto.mercadolivre.com.br/MLB-1272559342-relogio-masculino-gemius-army-linha-brad-pitt-fury-_JM#position=6&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;13;;8;;False;Novo
Relógio Esportivo Militar Super Promoção!!!;24.99;https://produto.mercadolivre.com.br/MLB-887259967-relogio-esportivo-militar-super-promoco-_JM#position=7&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;7;;8;17/2/2020 17:06;False;Novo
Relógio Gemius Army Original Pulseira Azul Fundo Azul;79.8;https://produto.mercadolivre.com.br/MLB-1173790997-relogio-gemius-army-original-pulseira-azul-fundo-azul-_JM#position=9&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;1;;0;;True;Novo
2 Relógios Gemius Army Original Pulseira Verde Fundo Verde;120.9;https://produto.mercadolivre.com.br/MLB-1224206069-2-relogios-gemius-army-original-pulseira-verde-fundo-verde-_JM#position=10&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;1;;11;21/1/2020 23:25;True;Novo
Relógio Bonito E Barato Gemius Army Original 2 Relógios;75.0;https://produto.mercadolivre.com.br/MLB-1179350359-relogio-bonito-e-barato-gemius-army-original-2-relogios-_JM#position=11&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;1;;0;;False;Novo
Relógio Gemius Army Original Pulseira Preta Fundo;75.9;https://produto.mercadolivre.com.br/MLB-1224198262-relogio-gemius-army-original-pulseira-preta-fundo-_JM#position=12&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;2;;2;09/1/2020 16:55;False;Novo
Relógio Militar Gemius Army Sport Exército Preto Ou Verde;21.83;https://produto.mercadolivre.com.br/MLB-993233525-relogio-militar-gemius-army-sport-exercito-preto-ou-verde-_JM#position=13&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;43;;41;13/2/2020 13:21;False;Novo
Relógio Brad Pitt Fury;39.0;https://produto.mercadolivre.com.br/MLB-1434351732-relogio-brad-pitt-fury-_JM#position=15&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;1;;0;;False;Novo
Relógio Militar Army Exercito Verde;29.99;https://produto.mercadolivre.com.br/MLB-1415556408-relogio-militar-army-exercito-verde-_JM#position=16&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;1;;4;19/2/2020 15:29;False;Novo
Relógio Brad Pitt Fury Filme Coração De Ferro;37.0;https://produto.mercadolivre.com.br/MLB-1434419600-relogio-brad-pitt-fury-filme-coraco-de-ferro-_JM#position=17&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;1;;0;;False;Novo
Relógio De Pulso Militar Genius Army;49.9;https://produto.mercadolivre.com.br/MLB-1259180784-relogio-de-pulso-militar-genius-army-_JM#position=18&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;1;;0;;False;Novo
Relogio Masculino Militar Gemius Army Exercito;89.9;https://produto.mercadolivre.com.br/MLB-877407878-relogio-masculino-militar-gemius-army-exercito-_JM#position=19&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;2;;0;;True;Novo
Relógio Analógico Azul Gemius Army;140.44;https://produto.mercadolivre.com.br/MLB-1150018493-relogio-analogico-azul-gemius-army-_JM#position=20&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;;;0;;True;Novo
Relogio Masculino Militar Gemius Army Exercito;19.9;https://produto.mercadolivre.com.br/MLB-877410816-relogio-masculino-militar-gemius-army-exercito-_JM#position=21&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;1;;4;29/1/2020 23:32;False;Novo
2 Relógios Gemius Army Original Pulseira Preta Fundo Preto;120.5;https://produto.mercadolivre.com.br/MLB-1224220094-2-relogios-gemius-army-original-pulseira-preta-fundo-preto-_JM#position=22&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;;;1;08/1/2020 16:18;True;Novo
Relógio Estilo Militar Suisso Gemius Army Modelo M 500;123.0;https://produto.mercadolivre.com.br/MLB-1445780383-relogio-estilo-militar-suisso-gemius-army-modelo-m-500-_JM#position=23&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;;;0;;True;Novo
Relógio Pulso Kit Brad Pitt Filme Coração De Ferro + Brinde;120.0;https://produto.mercadolivre.com.br/MLB-1444083532-relogio-pulso-kit-brad-pitt-filme-coraco-de-ferro-brinde-_JM#position=24&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;;;0;;True;Novo
Relogio Masculino Militar Gemius Army Exercito;29.9;https://produto.mercadolivre.com.br/MLB-884831869-relogio-masculino-militar-gemius-army-exercito-_JM#position=25&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;1;;0;;False;Novo
Relógio Militar Masculino Quartzo;35.0;https://produto.mercadolivre.com.br/MLB-1167428433-relogio-militar-masculino-quartzo-_JM#position=26&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;6;;4;24/1/2020 20:46;False;Novo
Relógio Esportivo Militar Gemius Army Super Promoção!!!;69.62;https://produto.mercadolivre.com.br/MLB-888132365-relogio-esportivo-militar-gemius-army-super-promoco-_JM#position=27&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;3;;1;10/10/2019 12:51;True;Novo
Relógio Militar Gemius Army Sport Exército Preto Ou Verde;21.83;https://produto.mercadolivre.com.br/MLB-1127004298-relogio-militar-gemius-army-sport-exercito-preto-ou-verde-_JM#position=28&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;2;;8;24/1/2020 10:03;False;Novo
Relógio Militar Esportivo Gemius Army Super Promoção !!!;24.99;https://produto.mercadolivre.com.br/MLB-887420008-relogio-militar-esportivo-gemius-army-super-promoco--_JM#position=29&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;;;0;;False;Novo
Relógio Gemius Army Original Pulseira Preta Fundo Preto;79.8;https://produto.mercadolivre.com.br/MLB-1224194834-relogio-gemius-army-original-pulseira-preta-fundo-preto-_JM#position=30&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;;;0;;False;Novo
Relógio Gemius Army;20.0;https://produto.mercadolivre.com.br/MLB-723505156-relogio-gemius-army-_JM#position=31&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;;;19;;False;Novo
Relógio Militar Gemius Army Sport Exército Preto Ou Verde;21.83;https://produto.mercadolivre.com.br/MLB-1242188475-relogio-militar-gemius-army-sport-exercito-preto-ou-verde-_JM#position=32&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;;;0;;False;Novo
Relógio Militar Gemius Army Sport;29.9;https://produto.mercadolivre.com.br/MLB-1101620471-relogio-militar-gemius-army-sport-_JM#position=33&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;5;;3;08/7/2019 16:44;False;Novo
Relógio Militar Swiss Gemius Army! Entrega Em Todo Brasil;44.9;https://produto.mercadolivre.com.br/MLB-1333270517-relogio-militar-swiss-gemius-army-entrega-em-todo-brasil-_JM#position=34&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;;;1;27/11/2019 19:45;False;Novo
Relógio Gemius Army Original;38.0;https://produto.mercadolivre.com.br/MLB-1345806756-relogio-gemius-army-original-_JM#position=35&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;;;0;;False;Novo
Relógio Militar Esportivo Gemius Army Super Promoção!!!;63.62;https://produto.mercadolivre.com.br/MLB-888141912-relogio-militar-esportivo-gemius-army-super-promoco-_JM#position=36&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;;;0;;True;Novo
Relogio Quartzo Militar Exercito De 35,00 Por;25.0;https://produto.mercadolivre.com.br/MLB-1292525541-relogio-quartzo-militar-exercito-de-3500-por-_JM#position=37&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;;;1;21/11/2019 10:26;False;Novo
Relogio Masculino Militar Gemius Army Exercito;79.9;https://produto.mercadolivre.com.br/MLB-877411538-relogio-masculino-militar-gemius-army-exercito-_JM#position=38&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;2;;6;17/7/2019 21:37;True;Novo
Relógio Militar Genius Army + Carteira Couro Denleilu;59.0;https://produto.mercadolivre.com.br/MLB-1262189789-relogio-militar-genius-army-carteira-couro-denleilu-_JM#position=39&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;;;0;;False;Novo
Relógio Esportivo Militar Army Clássic;28.9;https://produto.mercadolivre.com.br/MLB-1428802524-relogio-esportivo-militar-army-classic-_JM#position=40&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;;;0;;False;Novo
Relógio Genius Army;30.0;https://produto.mercadolivre.com.br/MLB-853857668-relogio-genius-army-_JM#position=41&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;1;;4;01/1/2019 13:30;False;Novo
Kit Relógios De Pulso Esportivos Gemius Army;90.0;https://produto.mercadolivre.com.br/MLB-1407432703-kit-relogios-de-pulso-esportivos-gemius-army-_JM#position=42&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;;;0;;False;Novo
Relógio Gemius Army Militar Verde;80.9;https://produto.mercadolivre.com.br/MLB-1424740169-relogio-gemius-army-militar-verde-_JM#position=43&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;;;0;;True;Novo
Kit /2 Relógios De Pulso Genius Army;55.0;https://produto.mercadolivre.com.br/MLB-845338130-kit-2-relogios-de-pulso-genius-army-_JM#position=44&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;;;1;12/7/2019 19:50;False;Novo
Relogio Masculino Militar Gemius Army Exercito;39.9;https://produto.mercadolivre.com.br/MLB-877403508-relogio-masculino-militar-gemius-army-exercito-_JM#position=45&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;1;;1;04/1/2018 23:00;False;Novo
Relógio Masculino Gemius Army Pulseira Nylon Promoção;19.9;https://produto.mercadolivre.com.br/MLB-1216222754-relogio-masculino-gemius-army-pulseira-nylon-promoco-_JM#position=46&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;18;4.0;6;17/12/2019 11:44;False;Novo
Relógio Militar Gemius Army Sport Exército, Bonito E Barato;30.9;https://produto.mercadolivre.com.br/MLB-897774497-relogio-militar-gemius-army-sport-exercito-bonito-e-barato-_JM#position=47&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;60;3.7;41;07/1/2020 15:50;False;Novo
Relógio Gemius Army Original Pulseira Verde Militar;60.0;https://produto.mercadolivre.com.br/MLB-1062872627-relogio-gemius-army-original-pulseira-verde-militar-_JM#position=48&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;15;;9;09/2/2020 12:34;False;Novo
Relógio Militar Gemius Army Sport Exército - Frete Grátis!!!;77.9;https://produto.mercadolivre.com.br/MLB-699259975-relogio-militar-gemius-army-sport-exercito-frete-gratis-_JM#position=49&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;212;3.5;41;;True;Novo
Relógio Masculino Militar Esportivo Nylon Gemius Army;40.0;https://produto.mercadolivre.com.br/MLB-1417673242-relogio-masculino-militar-esportivo-nylon-gemius-army-_JM#position=50&type=item&tracking_id=cc5f73e5-7a93-46b9-98aa-9eb8092cc1ec;;;0;;False;Novo
Relogio Masculino Militar Gemius Army Exercito;39.9;https://produto.mercadolivre.com.br/MLB-884831945-relogio-masculino-militar-gemius-army-exercito-_JM#position=1&type=item&tracking_id=22f10fe1-58cc-4ef8-858a-26b3c39b8787;;;2;03/4/2018 19:36;False;Novo
Relógio Militar Genius Army Preto;39.0;https://produto.mercadolivre.com.br/MLB-1232614296-relogio-militar-genius-army-preto-_JM#position=2&type=item&tracking_id=22f10fe1-58cc-4ef8-858a-26b3c39b8787;;;0;;False;Novo
Relógio Militar Gemius Army Sport;49.9;https://produto.mercadolivre.com.br/MLB-855158659-relogio-militar-gemius-army-sport-_JM#position=3&type=item&tracking_id=22f10fe1-58cc-4ef8-858a-26b3c39b8787;1;;0;;False;Novo
Relógio Militar Gemius Army Resistente A Água Pronta Entrega;158.99;https://produto.mercadolivre.com.br/MLB-1161756104-relogio-militar-gemius-army-resistente-a-agua-pronta-entrega-_JM#position=4&type=item&tracking_id=22f10fe1-58cc-4ef8-858a-26b3c39b8787;1;;1;08/1/2020 08:47;True;Novo
Relógio Militar Gemius Army Sport Exército - Frete Grátis!!!;89.99;https://produto.mercadolivre.com.br/MLB-988064544-relogio-militar-gemius-army-sport-exercito-frete-gratis-_JM#position=5&type=item&tracking_id=22f10fe1-58cc-4ef8-858a-26b3c39b8787;1;;4;27/12/2019 14:42;True;Novo
Relógio Militar Gemius Army Resistente A Água Pronta Entrega;83.99;https://produto.mercadolivre.com.br/MLB-712486667-relogio-militar-gemius-army-resistente-a-agua-pronta-entrega-_JM#position=6&type=item&tracking_id=22f10fe1-58cc-4ef8-858a-26b3c39b8787;16;;15;28/3/2019 16:53;True;Novo
Relógio Militar, Gemius Army, No Brasil! Frete Grátis!;89.99;https://produto.mercadolivre.com.br/MLB-738948120-relogio-militar-gemius-army-no-brasil-frete-gratis-_JM#position=7&type=item&tracking_id=22f10fe1-58cc-4ef8-858a-26b3c39b8787;1;;6;19/12/2016 20:23;True;Novo
